author,key
Calvin Lue,journals/tois/TomasicGLSH97
Camilla Schwind,journals/ijmms/Schwind90
Camille C. Price,conf/icdcs/PriceK84
Camilo Riaño,conf/ssdbm/Riano86
Can A. Baykan,conf/ijcai/FoxSB89
Can Türker,conf/er/SchwarzSTHHBCS99|conf/er/SaakeCT95|conf/adbis/SchwarzTS99|conf/adbis/TurkerS98|conf/adbis/SchwarzTS98|conf/adbis/TurkerS99|conf/cikm/SchmittT98|conf/ideas/SchwarzTS98|conf/efdbs/BalkoT99|conf/efdbs/HodingSCSBDHSST99|conf/iadt/SchwarzTS98|conf/bncod/ConradST98|conf/bncod/ConradHSST97
Candace L. Sidner,journals/coling/GroszS86|conf/aaai/LochbaumGS90|conf/ijcai/GroszS85
Candy Schwartz,journals/jasis/Schwartz98a
Cao Feng,conf/alt/MuggletonF90
Carel A. van den Berg,journals/tkde/ApersBFGKW92
Carel S. Scholten,journals/ipl/DijkstraS80|journals/cacm/DijkstraLMSS78
Carey L. Williamson,journals/ton/ArlittW97
Carine Souveyet,journals/is/RollandSM95|conf/caise/NurcanGS98
Carl A. Bender,journals/ibmsj/StunkelSAABGHJNSSTV95
Carl A. Gunter,journals/tcs/Gunter92|journals/iandc/Breazu-TannenCGS91|conf/lics/Breazu-TannenCGS89
Carl A. Waldspurger,journals/tse/WaldspurgerHHKS92|conf/osdi/WaldspurgerW94
Carl August Zehnder,conf/icde/BraggerDRZ84|conf/er/UrsprungZ83|journals/tse/BraggerDRZ85|conf/gi/ZehnderT80|conf/gi/RebsamenZ82
Carl D. Tait,conf/pdis/TaitD91
Carl E. Landwehr,journals/tocs/LandwehrHM84|journals/csur/Landwehr81
Carl E. Taylor,conf/vldb/LienTDR75
Carl G. Davis,journals/tse/DavisV77
Carl G. Looney,journals/tkde/Looney91|journals/tkde/Looney96
Carl H. Smith,journals/csur/AngliunS83
Carl Hauser,conf/vldb/AndlerDEHKMW82|conf/sosp/TerryTPDSH95|conf/podc/DemersGHIL87
Carl Hewitt,journals/ai/Hewitt91|journals/ai/Hewitt77|journals/tois/Hewitt86|journals/cacm/LiebermanH83|conf/eds/BrodieBLMTH88
Carl J. Tollander,conf/sigir/TongACT85
Carl Lagoze,conf/adl/DavisLK95|conf/adl/DanielLP98
Carl Mayer,journals/spe/RoweDMMST87
Carl McCrosky,journals/software/JenkinsGM86|conf/slp/GlasgowJM85
Carl Medsker,conf/dolap/EwenMDLSG98
Carl S. Hartzman,journals/tkde/HartzmanW90
Carl Singer,journals/cacm/NunamakerKHS76
Carl Staelin,journals/vldb/StonebrakerALPSSSY96|conf/icde/SidellASSSY96|conf/pdis/StonebrakerDKLPSS94|journals/tocs/WilkesGSS96|conf/sosp/WilkesGSS95|conf/usenix/SeltzerBMS93|conf/usenix/KohlSS93|conf/usenix/StaelinG91|conf/usenix/GoldingBSSW95
Carl Zuckerman,journals/cacm/CohenZ74
Carla Basili,conf/edbt/BasiliBM92
Carla Chachaty,conf/pdis/Borla-SalametCD91|conf/parle/ChachatyBW92
Carla D. Savage,journals/siamcomp/SavageJ81
Carla Schlatter Ellis,journals/tkde/FloydE89|journals/tods/Ellis87|conf/pods/Ellis83|conf/pods/Ellis85|journals/acta/Ellis80|journals/tc/Ellis80|journals/tpds/KotzE90|journals/tse/BaerE77|conf/sosp/LaRoweEK91|conf/pdis/KotzE91|conf/podc/EllisFH82|conf/icdcs/Ellis85|conf/srds/EllisF83
Carles Farré,conf/caise/CostalTUF96
Carles Sierra,journals/logcom/ParsonsSJ98
Carlo Batini,journals/csur/BatiniL86|conf/er/BatiniLF97|conf/er/TamassiaBT83|conf/er/BatiniFN85|conf/er/BatiniS79|conf/er/BatiniL83|conf/er/AtzeniBLV81|conf/er/EverestBFMT87|conf/er/SantucciBB93|conf/sigmod/BatiniC85|journals/debu/BatiniAL84|journals/re/BatiniCAFP96|journals/tcs/AtzeniABM82|journals/tse/BatiniNT86|journals/tse/BatiniBS93|journals/tse/BatiniL84|journals/is/BatiniDL84|journals/is/BatiniB88|journals/is/BattistaB88|journals/is/BatiniLS82|conf/vdb/BatiniCCL91|conf/mfcs/AusielloBM80|conf/wg/BatiniDM81|conf/icod/AusielloBM80|conf/gg/BatiniD78
Carlo Carlesi,journals/pe/ThanosBC88|conf/eci/ThanosCB81
Carlo Cecchi,conf/db-workshops/AielloC85
Carlo Eynard,conf/er/VerrocaEGGAD98
Carlo Ferrari,journals/ijmms/GiunchigliaFTT92
Carlo Ghezzi,journals/cl/BossiG84|journals/cl/BerryGMT82|journals/tse/BandinelliFG93|journals/toplas/MorzentiMG92|conf/ewspt/BandinelliFGG92
Carlo H. Séquin,journals/tc/GoodmanS81
Carlo Meghini,journals/tods/MeghiniT91|journals/acta/MeghiniT85|journals/computer/MeghiniRT91|conf/spieSR/Meghini96|conf/icod/BertinoMT83|conf/sigir/MeghiniS96
Carlo Montangero,journals/acta/MontangeroPST78
Carlo Tasso,conf/sigir/BrajnikMT96
Carlo Tomasi,conf/spieSR/GuibasRT95
Carlo Vago,journals/tkde/SubrahmanianNV95
Carlo Zaniolo,journals/tkde/ChimentiGKNTZ90|journals/tods/Zaniolo82|journals/tods/ZanioloM82|journals/tods/ZanioloM81|conf/icde/ChenZ99|conf/er/AckleyCSTTTZ90|conf/er/MelkanoffZ79|conf/sigmod/MotakisZ97|conf/sigmod/SaccaZ87|conf/sigmod/Zaniolo79|conf/sigmod/Zaniolo83|conf/sigmod/TsurZ84|conf/pods/SaccaZ86|conf/pods/Zaniolo82|conf/pods/SaccaZ90|conf/pods/GrecoZG92|conf/pods/GangulyGZ91|conf/pods/ShmueliTZ88|conf/icdt/SaccaZ86|conf/icdt/GrecoSZ95|conf/dbpl/KrishnamurthyZ87|conf/ride/ChienTZ01|conf/edbt/Zaniolo90|conf/edbt/KrishnamurthyZ88|conf/edbt/GrecoZ92|conf/vldb/TsurZ86|conf/vldb/KrishnamurthyBZ86|conf/vldb/Zaniolo85|conf/vldb/WangZ00|journals/jlp/ShmueliTZ92|journals/debu/ChimentiOKTWZ87|journals/jiis/Zaniolo92|journals/sigmod/UllmanZ90|journals/tcs/SaccaZ88|journals/jcss/Zaniolo84|journals/jsi/MotakisZ97|conf/slp/Zaniolo84|conf/slp/KrishnamurthyNZ89|conf/icde/WangZ00|conf/deductive/ZanioloS94|conf/deductive/MuntzSZ93|conf/deductive/ChenZ98|conf/tdb/MotakisZ95|conf/icalp/GrecoSZ95|conf/rules/Zaniolo93|conf/webdb/ChienTZ00a|conf/kdd/ShenMOZ94|conf/iclp/SaccaZ87|conf/iclp/Zaniolo88|conf/eds/Zaniolo86|conf/eds/Zaniolo84|conf/eds/ZanioloABCM84|conf/ds/ZanioloS88|conf/ds/Zaniolo79|conf/bncod/Zaniolo93|conf/dbpl/WangZ99|conf/dmkd/WangZ99|conf/jcdkb/SaccaZ88|conf/dood/Zaniolo89|conf/dood/ZanioloAO93|conf/dood/Zaniolo95|conf/dood/MotakisZ95|conf/dood/GiannottiPSZ91
Carlos A. Heuser,conf/er/HeuserP91|journals/is/HeuserPR93|conf/ds/HeuserR85
Carlos A. Hurtado,conf/icde/HurtadoMV99|conf/dolap/HurtadoMV99|conf/icdt/HurtadoM01
Carlos A. Mareco,conf/er/MarecoB99
Carlos A. Tau,conf/dasfaa/TauSPM95|conf/dasfaa/BaumGPST93
Carlos Caleiro,conf/dagstuhl/EhrichCSD98
Carlos Cunha,journals/debu/BestavrosC96
Carlos García,conf/icde/CelmaGMD94
Carlos José Pereira de Lucena,journals/tse/CowanL95|conf/iwhd/RossiSLC95
Carlos Montes de Oca,conf/wcre/OcaC98
Carlos Ordonez 0001,conf/sigmod/OrdonezC00|conf/adl/OrdonezO99
Carlos R. Mechoso,conf/ssdbm/ChiMSSTMM97|journals/pc/WehnerMEDMFS95|conf/kdd/StolorzNMMSSYNCMF95
Carlos R. P. Hartmann,journals/tc/VarshneyHF82
Carlos Sánchez 0004,journals/sigmod/GruenwaldBDGSSV99
Carlos Viegas Damásio,conf/ecai/AlferesDP94
Carlota Rodríguez,conf/er/CoboMRR99
Carlotta Domeniconi,conf/sigmod/GunopulosKTD00
Carma L. McClure,conf/icse/McClure78
Carme Quer,conf/adbis/CostalSOBPQR97|conf/caise/QuerO93
Carmel Domshlak,conf/kdd/DomshlakGGLMRS98
Carmelo Malta,conf/icde/MaltaM93|conf/dasfaa/MaltaM91
Carmem S. Hara,conf/pods/HaraD99
Carmen C. Iannacone,conf/dasfaa/SonPI91
Carmen Gervet,conf/slp/Gervet94
Carol A. Broverman,conf/vldb/BrovermanC85
Carol C. Lochbaum,conf/ht/EganLKLRLL91
Carol Helfgott LeDoux,conf/vldb/LeDouxP82
Carol Lafond,conf/jcdkb/JakobsonPLRH88
Carol Small,journals/vldb/PoulovassilisS96|conf/dbpl/SmallP91|conf/dbpl/PoulovassilisS97|conf/vldb/PoulovassilisS91|conf/vldb/PoulovassilisS94|conf/vldb/PoulovassilisS93|journals/dke/LorentzosPS95|journals/is/Small93|journals/cj/LorentzosPS94
Carol Williams,conf/sigmod/GoSW75
Carole A. Goble,conf/icde/GobleGNR93|conf/edbt/GobleC94|conf/edbt/GobleOCIOX92|conf/dexa/GobleCS94|conf/bncod/GobleG93|conf/ids/HawGR94
Carole D. Hafner,journals/tois/HafnerG85
Carole Palisser,conf/vldb/AndanyLP91
Carole S. Crall,journals/tse/SidhuC88
Caroline C. Hayes,journals/tkde/HayesP97
Caroline M. Eastman,journals/jasis/KimE99|journals/debu/Eastman89|journals/ipl/Eastman81|journals/ipl/EastmanZ82|journals/is/EastmanW82
Caroline Paxson,conf/vldb/StonebrakerCNPW93|conf/vl/WoodruffWTSPCA94
Carolyn Cline,conf/icde/ClineS84
Carolyn J. Crouch,conf/ht/CrouchCA89
Carolyn L. Talcott,conf/tacs/Talcott97
Carolyn R. Watters,journals/tkde/HartzmanW90|journals/tois/WattersS90
Carolyn Turbyfill,conf/icde/BittonHT87|conf/vldb/BittonDT83|journals/debu/Turbyfill88
Carolyn West,journals/debu/ChimentiOKTWZ87
Carrie Ballinger,journals/debu/BallingerF97
Carrie Beam,conf/cikm/SegevWB95|conf/ifip/BichlerBS98
Carrie Wilpolt,conf/oopsla/SchaffertCBKW86
Carson C. Woo,conf/vldb/TsichritzisCEFLLVW83|journals/debu/WooL85|journals/tois/WooL86|conf/dbsec/LochovskyW87
Carsten Andreas Gerlhof,conf/edbt/GerlhofK94|conf/vldb/EicklerGK95|journals/sigmod/GerlhofKM96|conf/pos/GerlhofK94|conf/fodo/GerlhofKKM93
Carsten Hammer,conf/parle/SkeltonHLRTW92
Carsten Ihlemann,conf/cade/IhlemannS10
Carsten Lund,journals/jacm/LundY94|conf/stoc/LundY93
Carsten Otto,conf/rta/BrockschmidtOG11
Carsten Sapia,conf/dolap/DinterSHB98|conf/er/SapiaBHD98|conf/dexaw/BlaschkaSHD98
Carsten Vogt,conf/mm/DelgrossiHHHKSV93
Carsten Weich,conf/dexa/BoszormenyiEW94
Carter Bays,journals/cacm/Bays73
Carter Shock,conf/icde/ChangMASSS97
Cary G. Gray,conf/sosp/GrayC89
Casimir A. Kulikowski,journals/ai/WeissKAS78
Casimir J. Crawley,conf/dasfaa/CrawleyB97
Casper A. Scalzi,journals/ibmsj/ScalziGS89
Cass Squire,conf/sigmod/Squire95
Cassio Souza dos Santos,conf/dbpl/AbiteboulS95|conf/edbt/SantosAD94|conf/vldb/AbiteboulAAACHHMMMMSTV99|conf/dexa/Santos95
Catherine A. Ewald,conf/caise/EwaldO93
Catherine A. Meadows,conf/icde/JajodiaM87|conf/dbsec/MeadowsJ87|conf/dbsec/FroscherM88
Catherine Baudin,conf/aaai/BaudinKUB93
Catherine C. Marshall,conf/dl/Marshall97|journals/cacm/LevyM95|conf/echt/MarshallSC94|conf/dl/NurnbergFLMS95|conf/dl/FurutaMSL96|conf/ht/MarshallHRJ91|conf/ht/MarshallS97|conf/ht/MarshallI89
Catherine D. Jensen,conf/icde/JensenKV89
Catherine D. McCollum,journals/cacm/JajodiaMA99|conf/dbsec/JajodiaMB93|conf/sp/McCollumMN90
Catherine E. Houstis,conf/ngits/ChristophidesHLT99
Catherine Hamon,conf/icde/HamonK95|conf/edbt/DelcambraHBRN96|conf/fodo/KellerH93
Catherine Lassez,conf/pods/BrodskyLLM95|conf/alp/HuynhLL90|conf/ppcp/BrodskyL93|conf/iclp/LassezMP87|conf/fsttcs/HuynhJLL90
Catherine Moulinoux,conf/ddb/LitwinBEFGCKMRS82
Catherine Plaisant,conf/adl/DoanPS96
Catherine Soh,conf/dasfaa/TanSH89
Cathy Medich,conf/compcon/TenenbaumMSW95
Catriel Beeri,journals/tods/BeeriB79|journals/tods/Beeri80|journals/tods/AhoBU79|journals/tods/BeeriK86|journals/vldb/AbiteboulB95|conf/sigmod/BeeriFH77|conf/sigmod/BeeriM93|conf/pods/BeeriKBR87|conf/pods/RamakrishnanBK88|conf/pods/BeeriR87|conf/pods/BeeriMT96|conf/pods/BeeriLR97|conf/pods/BeeriNRST87|conf/pods/BeeriK82|conf/pods/Beeri92|conf/pods/BeeriM92|conf/pods/BeeriRSS92|conf/pods/BeeriM91|conf/pods/BeeriK83|conf/coopis/DogacTTETHIB00|conf/icdt/BeeriM99|conf/icdt/BeeriK90|conf/icdt/Beeri88|conf/dbpl/BeeriMT97|conf/dbpl/BeeriT93|conf/edbt/BeeriK90|conf/edbt/BeeriSW88|conf/vldb/BeeriK84|conf/vldb/BeeriBG78|conf/vldb/BeeriO81|conf/vldb/BeeriM91|journals/jlp/BeeriR91|journals/jlp/BeeriNST91|journals/debu/Beeri91|journals/isci/BeeriK94|journals/sigmod/BeeriV81|journals/tcs/BeeriK93|journals/jcss/BeeriKBR90|journals/jacm/BeeriDFS84|journals/jacm/BeeriK87|journals/jacm/BeeriV84|journals/jacm/BeeriFMY83|journals/jacm/BeeriK86|journals/jacm/BeeriBG89|journals/dke/Beeri90|journals/iandc/BeeriV84|journals/siamcomp/BeeriMSU81|journals/siamcomp/BeeriH81|journals/siamcomp/BeeriV84|conf/btw/Beeri93|conf/ewdw/SubietaBMS94|conf/fmldo/BeeriT98|conf/nf2/AbiteboulBGG87|conf/focs/AhoBU77|conf/icalp/BeeriV81|conf/webdb/BeeriEMSSTKKMS98|conf/webdb/BeeriT99|conf/echt/BeeriK90|conf/nato/Beeri93|conf/podc/BeeriBG83|conf/stoc/BeeriMSU79|conf/stoc/BeeriFMMUY81|conf/adbt/BeeriV79|conf/jcdkb/BeeriNT88|conf/dood/Beeri89
Catuscia Palamidessi,journals/tcs/FalaschiLPM89|conf/iclp/FalaschiLMP88
Cecil Chua Eng Huang,conf/er/CecilCL98
Cecilia Giovanetti,journals/jfp/AspertiGN96
Cecilia Magdalena Procopiuc,conf/sigmod/AggarwalPWYP99
Cedric C. F. Fong,conf/icde/FongLW97
Cees Witteveen,journals/ai/WitteveenB93
Celia Wrathall,journals/tcs/Wrathall76
Celsina Bignoli,conf/cscw/KaplanTBB92
Celso A. S. Santos,conf/mm/SantosSSC98
Cem Evrendilek,journals/debu/OzcanNKED97|conf/sigmod/DogacAEOADAOS94|conf/sigmod/DogacHKOONDMAKE96|conf/adbis/EvrendilekDG95|journals/sigmod/ArpinarDE93|journals/sigmod/DogacDKOONEHAKKM95|journals/dpd/EvrendilekDNO97|conf/cikm/OzcanNKED96|conf/dexa/OzkanDE95|conf/ngits/EvrendilekD95|conf/ride/DogacDKOONEHAKM96
Cem H. Bozsahin,journals/ngc/OzkarahanB88
Cesare A. Galtieri,journals/tods/TraigerGGL82
Cetin Ozkan,conf/sigmod/DogacAEOADAOS94|journals/sigmod/DogacAOD95|conf/dexa/DogacAOADA95|conf/dexa/OzkanDE95
Cevdet Dengi,journals/cacm/DogacDO98|conf/sigmod/DogacHKOONDMAKE96|conf/adbis/DengiN97|journals/sigmod/DogacDKOONEHAKKM95|conf/ride/DogacDKOONEHAKM96
Cezary Dubnicki,conf/isca/BlumrichLADFS94
Chabane Oussalah,conf/adbis/UrtadoO96|conf/vldb/TalensOC93
Chacko T. Abraham,journals/iandc/AbrahamGR68
Chad Burkey,conf/aaai/KrulwichB96
Chad Carson,journals/debu/CharsonO96|conf/icde/ThomasCH00
Chagit Attiya,conf/icde/NirenburgA84
Chaitanya K. Baru,journals/tkde/BaruP93|journals/tkde/FriederB94|conf/icde/FeiBS84|conf/icde/BaruF87|conf/sigmod/BaruS84|journals/tc/BaruF89|journals/tc/BaruS86|journals/ibmsj/BaruFGHJPCW95|conf/iwdm/BaruFKS87|conf/sigmod/BaruGLMPVC99|conf/sigmod/BaruFGHJPW95|conf/dl/BaruCGLMPV99
Chak Won,conf/berkeley/CohenHHW82
Chan Man Kuok,journals/sigmod/KuokFW98
Chan-Gun Lee,conf/dasfaa/ParkLLC99
Chanathip Namprempre,conf/ht/WeissVSNSDG96
Chandana Gamage,conf/adbis/LeiwoGZ99
Chander Kant,conf/vldb/ShatdalKN94|conf/oopsla/CareyDKN94
Chandra Chekuri,conf/pods/ChekuriHM95|conf/icdt/ChekuriR97|conf/vldb/ShivakumarGC98
Chandra M. R. Kintala,conf/pods/Kintala83|conf/popl/GansnerHKMS82
Chandrakant Natarajan,conf/sigmod/RundensteinerCLCZNJLW99
Chandramohan A. Thekkath,journals/tocs/ThekkathL93|conf/sosp/FeeleyMPKL95|conf/asplos/LeeT96
Chandrasekhar Srinivasan,conf/sigmod/FegarasSRM00
Chandu Karadi,conf/sigir/HearstK97
Chang De Yan,journals/tkde/TangYS94
Chang Li,conf/ssdbm/LiW96|conf/cikm/LiW96
Chang S. Keum,conf/dasfaa/KeumCHKW95
Chang-Ho Kim,conf/sigmod/HansonCKW90
Chang-Pin Lin,journals/tkde/HarhalakisLMM94
Chang-Shing Perng,conf/icde/PerngWZP00
Chang-Tien Lu,journals/tkde/ShekharCRFLL99
Chang-jie Tang,journals/tcs/GinsburgT87|journals/tcs/GinsburgT86
Chang-jung Lee,conf/vldb/SuLLLD78
Changguan Fan,journals/spe/FanD92
Changhwa Lin,journals/tkde/MoldovanLL93|journals/computer/MoldovanLLC92
Changjie Tang,conf/dasfaa/TangYZ99
Changming Zhou,conf/spieSR/KitamotoZT93
Changwoo Pyo,conf/slp/PyoR89
Channah F. Naiman,journals/jiis/OukselN94|conf/ngits/OukselN93
Chao-Chih Yang,journals/dke/YangS89
Chao-Ju Hou,journals/tc/HanLH96
Chaoyi Pang,conf/icdt/PangRD99|journals/ipl/DongP97
Charalampos I. Theodoulidis,conf/er/TheodoulidisLW91|journals/is/TheodoulidisLW91|journals/is/TheodoulidisL91|conf/caise/TheodoulidisWL90
Charanjit S. Jutla,conf/focs/EmersonJ88
Charlene Chuck Walrad,journals/ibmsj/WalradM93
Charles A. Eads,conf/spieSR/RoweBE94
Charles A. Richter,conf/icse/KatzRT87
Charles B. Haley,conf/berkeley/CohenHHW82
Charles Bontempo,journals/cacm/BontempoZ98
Charles Connell,conf/sigmod/Piatetsky-ShapiroC84
Charles Consel,conf/popl/ConselD93
Charles D. Coleman,conf/sigmod/FernandezSC75|conf/pacific/SummersF75
Charles D. Fisher,conf/sde/WiledenWFT88
Charles E. Fineman,journals/tse/SpectorBDDEFHS85
Charles E. Leiserson,journals/tc/Leiserson85|journals/jacm/ChorLRS86|conf/focs/LeisersonRT93|conf/spaa/BlellochLMPSZ91
Charles E. Meyers,journals/jiis/DavidsonHJMW98
Charles E. Perkins,conf/mobicom/PerkinsJ96
Charles E. Youman,journals/computer/SandhuCFY96
Charles Elkan,conf/pods/Elkan89|conf/pods/Elkan90|journals/ai/Elkan90|conf/kdd/MongeE96|conf/iclp/ElkanM88|conf/aaai/Elkan93|conf/dmkd/MongeE97
Charles F. Schmidt,journals/ai/SchmidtSG78
Charles F. Wagner,conf/er/Wagner88
Charles Forgy,journals/tocs/GuptaFN89|journals/ai/Forgy82|conf/aaai/ForgyGNW84|conf/isca/GuptaFNW86|conf/ijcai/ForgyM77
Charles Fuller,conf/spieSR/BachFGHHHJS96
Charles H. Burris,conf/icde/BlackB89
Charles H. Irby,journals/computer/JohnsonRVSIBM89
Charles H. Sauer,journals/tse/ChandyHS77|journals/csur/ChandyS78
Charles Hoch,conf/sigmod/GoyalHKMSZ97|conf/sigmod/GoyalHKMS96
Charles J. Colbourn,journals/csur/ColbournO89
Charles J. Kacmar,journals/cacm/BieberK95
Charles J. Petrie,journals/ki/Petrie89
Charles J. Prenner,journals/is/WassermanP79
Charles J. Rieger III,journals/ai/SchankR74
Charles Jerian,conf/wmrd/HisgenBJMSS90
Charles Kellogg,conf/icde/Kellogg84|conf/vldb/KelloggKT76|conf/vldb/KelloggOT86|journals/computer/Kellogg86|conf/aaai/Kellogg82|conf/adbt/KelloggKT77|conf/adbt/KelloggT79
Charles Koelbel,conf/ppopp/BordawekarCKKP95
Charles L. A. Clarke,journals/cj/ClarkeCB95
Charles L. Seitz,journals/micro/BodenCFKSSS95|journals/computer/AthasS88|journals/cacm/Seitz85
Charles L. Viles,conf/cikm/VilesF95|conf/sigir/FrenchPVEP98|conf/sigir/VilesF95
Charles Lamb,journals/cacm/LambLOW91|journals/debu/WeinrebFGL88
Charles Lowe,journals/aim/AckermanBGHKKKLLMOPSSY97
Charles M. Eastman,journals/cacm/Eastman72|conf/sigmod/KutayE83|conf/oodbs/Eastman86
Charles M. Geschke,journals/cacm/GeschkeMS77
Charles M. Higgins,conf/ecai/SmythGH90
Charles N. Fischer,conf/sde/FischerPSJM84|conf/popl/GanapathiF82
Charles P. Bourne,journals/ipm/Bourne77
Charles P. Felix,journals/ibmsj/WalstonF77
Charles R. Blair,journals/iandc/Blair60
Charles R. Dyer,journals/computer/HibbardPSDBV94|journals/cacm/DyerRS80
Charles R. Kime,journals/jacm/BatniRK74
Charles R. Litecky,journals/cacm/LiteckyD76
Charles R. Severance,conf/vldb/SeverancePW90
Charles R. Standridge,conf/sigcomm/AbramsSAFW96
Charles R. Symons,journals/tse/Symons88
Charles R. Vick,journals/tse/DavisV77
Charles R. Ward,journals/computer/VetterSW94
Charles Rackoff,journals/siamcomp/ValiantSBR83|journals/siamcomp/FerranteR75|conf/focs/AleliunasKLLR79
Charles Ranaboldo,conf/dexa/SoperRA91
Charles Rich,journals/tkde/RichW92|journals/computer/RichW88|journals/computer/RichW88a|journals/tse/RichS78|journals/tse/RichF92|journals/software/RichW90|conf/aaai/Rich82
Charles Richter,journals/software/BiggerstaffR87
Charles S. Kline,journals/tse/ParkerPRSWWCEKK83|journals/csur/PopekK79|conf/ac/PopekK78|conf/berkeley/ParkerPRSWWCEKK81|conf/sosp/PopekWCERT81|conf/sosp/WalkerPEKT83
Charles S. Roberts,journals/pieee/Roberts79|conf/isca/AhujaR80
Charles S. Wetherell,journals/tse/WetherellS79
Charles Spirakis,journals/spe/RoweDMMST87
Charles T. Davies Jr.,journals/ibmsj/Davies78
Charles W. Bachman,conf/er/Bachman83|conf/vldb/BachmanD77|journals/cn/BachmanR82|journals/tkde/Bachman89|journals/cacm/Bachman73|journals/cacm/Bachman72|conf/sigmod/Bachman74|conf/sigmod/BachmanB72
Charles W. Dissly,journals/tse/ChandyBDU75
Charles W. Kaufman,conf/vldb/SarinKS86|conf/vldb/BlausteinK85|journals/tc/SarinBK85
Charles W. Krueger,journals/csur/Krueger92
Charles Welty,journals/tods/WeltyS81|journals/tods/WeltyS82
Charles White,conf/dac/MillerGSW89
Charles Y. C. Chung,conf/aaai/ColombC90
Charly Kleissner,conf/sigmod/Kleissner95|journals/dpd/HsuK96
Charu C. Aggarwal,journals/debu/AggarwalY98|conf/icde/AggarwalY98|conf/sigmod/AggarwalWY99|conf/sigmod/AggarwalPWYP99|conf/sigmod/AggarwalY00|conf/pods/AggarwalY98|conf/icdt/AggarwalHK01|conf/kdd/AggarwalSY98|conf/sigmetrics/AggarwalWY96|conf/icmcs/AggarwalWY96a|conf/ssd/AggarwalWYE97|conf/vldb/HinneburgAK00
Chat-Yu Lam,journals/tods/LamM79
Chau M. Hua,journals/tkde/HuaLH95|conf/icde/HuaS93
Chau-Wen Tseng,journals/cacm/HiranandaniKT92|conf/asplos/CarrMT94
Chee Chin Low,conf/sigmod/LowOL92|conf/dood/LowLOH91
Chee Fen Yu,journals/computer/WahLY85|journals/tse/YuW88
Chee Yong Chan,journals/tkde/Chano97|conf/icde/ChanO97|conf/sigmod/ChanI99|conf/sigmod/ChanI98|conf/vldb/ChanI99|conf/vldb/ChanOL92
Chee-Keng Yap,conf/pods/HullY82|journals/tcs/Yap83|journals/jcss/MillerY80|journals/jacm/HullY84|journals/iandc/ChazelleCPY86|conf/focs/KozenY85|conf/focs/ColeY83|conf/focs/AggarwalCGOY85|conf/focs/ODunlaingY82|conf/stoc/DobkinEY86
Cheing-Mei Suen,journals/tods/YuSLS85
Chen Lee,conf/sigmetrics/GibsonNACFGLORRZ97
Chen Li 0001,conf/sigmod/LiYVGPUV98|conf/sigmod/YerneniLGU99|conf/icdt/LiBU01|conf/icdt/YerneniLUG99|conf/icdt/LiC01|conf/icde/LiC00
Chen-Ching Liu,journals/tkde/RosenwaldL97
Chendong Zou,journals/debu/Zou97|journals/debu/ZouS96|conf/icde/ZouSL98|conf/sigmod/ZouS96|conf/vldb/ZouS98
Cheng Hian Goh,conf/icde/LingG92|conf/icde/TanGO99|conf/icde/ChanO97|conf/sigmod/BressanGFJHKLMPQSS97|conf/vldb/OoiGT98|conf/vldb/GohOST99|conf/vldb/TanGO99|journals/sigmod/LuOG92|journals/tois/GohBMS99|conf/cikm/GohMS94|conf/ds/DaruwalaGHHMS95|conf/ride/LuOG93
Cheng Hsu,journals/tkde/BabinH96|conf/er/HsuPBC87|conf/er/YeeH97|conf/er/Hsu85|journals/sigmod/Hsu91|journals/tois/CheungH96|journals/tse/HsuBRY91
Cheng Yang,conf/icde/CohenDFGIMUY00
Cheng-Lun Tsai,conf/dasfaa/LeeT93
Chengjie Liu,conf/icdcs/LiuC97
Chengqi Zhang,journals/tkde/Zhang94|journals/ai/Zhang92|journals/dke/ZhangB91
Chengwen Liu,conf/icde/LiuCK96|conf/icde/YuL90|conf/icde/YangYLDWP94|conf/icde/YangLWYDN95|conf/icde/AslandoganTYLN95|conf/dasfaa/ChenL99|conf/dasfaa/LiuC95|conf/edbt/LiuC96|conf/vldb/SistlaYLL95|journals/tpds/LiuY93|conf/dexa/MengLSY93|conf/icdcs/LiuY92
Chengyu Sun,conf/icde/GuhSY91
Chenye Bao,conf/ssdbm/HachemBT96
Chenye Lin,conf/vldb/ShethKMWDLPLS96
Cheong Youn,journals/tkde/YounKHH92|conf/sigmod/YounHH88|conf/jcdkb/YounHH88
Cherri M. Pancake,journals/cacm/Pancake95
Cheryl B. Thompson,journals/dke/StoreyTR95
Chew Lik Chang,journals/jasis/ZahirC92
Chi Chi Hung,conf/adbis/JohnH99|conf/adbis/PengH99
Chi Hoang,conf/vldb/McKennaBHT96
Chi Su Wu,conf/dasfaa/KangHW91
Chi-Hung Chi,conf/pldi/ChiD89
Chi-Sheng Shih,conf/dasfaa/LeeSC97|conf/sigir/LinSCHKH98
Chi-Sung Laih,conf/icde/HarnL89
Chi-Wai Fung,conf/er/FungL95|conf/dasfaa/FungKL97
Chi-Yin Huang Hsu,conf/icde/BelfordLHHKKKLMNNQRYZ86|conf/icdcs/HsuL86
Chi-Yuan Lo,conf/sigmod/SinghalAL93
Chia-Hoang Lee,journals/ai/Lee88
Chia-Jung Chen,journals/tkde/LeeC97|journals/sigmod/LeeCL95
Chiaki Ishikawa,conf/asplos/MaekawaSI82
